category,question,korean,answer,options,explanation
Topic Particle (은/는),As for the computer, it is nice.,컴퓨터___ 좋아요.,는,"은,는,이,가","'컴퓨터' ends in a vowel, so we use the topic marker '는'."
Subject Particle (이/가),The coffee exists.,커피___ 있어요.,가,"이,가,을,를","'커피' ends in a vowel, so we use the subject marker '가'."
Object Particle (을/를),(I) watches the teacher.,선생님___ 봐요.,을,"을,를,이,가","'선생님' ends in a consonant, so we use the object marker '을'."
Location Particle (에),(I) go to home.,집___ 가요.,에,"에,에서,부터,까지","'에' indicates the destination or static location."
Action Location (에서),(I) meets at the office.,회사___ 만나요.,에서,"에,에서,으로,와","'에서' indicates the location where an action takes place."
Topic Particle (은/는),As for the house, it is nice.,집___ 좋아요.,은,"은,는,이,가","'집' ends in a consonant, so we use the topic marker '은'."
Subject Particle (이/가),The car exists.,차___ 있어요.,가,"이,가,을,를","'차' ends in a vowel, so we use the subject marker '가'."
Object Particle (을/를),(I) watches the bus.,버스___ 봐요.,를,"을,를,이,가","'버스' ends in a vowel, so we use the object marker '를'."
Location Particle (에),(I) go to cafe.,카페___ 가요.,에,"에,에서,부터,까지","'에' indicates the destination or static location."
Action Location (에서),(I) buys at the office.,회사___ 사요.,에서,"에,에서,으로,와","'에서' indicates the location where an action takes place."
Topic Particle (은/는),As for the bus, it is nice.,버스___ 좋아요.,는,"은,는,이,가","'버스' ends in a vowel, so we use the topic marker '는'."
Subject Particle (이/가),The banana exists.,바나나___ 있어요.,가,"이,가,을,를","'바나나' ends in a vowel, so we use the subject marker '가'."
Object Particle (을/를),(I) drinks the car.,차___ 마셔요.,를,"을,를,이,가","'차' ends in a vowel, so we use the object marker '를'."
Location Particle (에),(I) go to library.,도서관___ 가요.,에,"에,에서,부터,까지","'에' indicates the destination or static location."
Action Location (에서),(I) eats at the restaurant.,식당___ 먹어요.,에서,"에,에서,으로,와","'에서' indicates the location where an action takes place."
Topic Particle (은/는),As for the student, it is nice.,학생___ 좋아요.,은,"은,는,이,가","'학생' ends in a consonant, so we use the topic marker '은'."
Subject Particle (이/가),The banana exists.,바나나___ 있어요.,가,"이,가,을,를","'바나나' ends in a vowel, so we use the subject marker '가'."
Object Particle (을/를),(I) eats the teacher.,선생님___ 먹어요.,을,"을,를,이,가","'선생님' ends in a consonant, so we use the object marker '을'."
Location Particle (에),(I) go to restaurant.,식당___ 가요.,에,"에,에서,부터,까지","'에' indicates the destination or static location."
Action Location (에서),(I) studies at the park.,공원___ 공부해요.,에서,"에,에서,으로,와","'에서' indicates the location where an action takes place."
Topic Particle (은/는),As for the computer, it is nice.,컴퓨터___ 좋아요.,는,"은,는,이,가","'컴퓨터' ends in a vowel, so we use the topic marker '는'."
Subject Particle (이/가),The student exists.,학생___ 있어요.,이,"이,가,을,를","'학생' ends in a consonant, so we use the subject marker '이'."
Object Particle (을/를),(I) goes the coffee.,커피___ 가요.,를,"을,를,이,가","'커피' ends in a vowel, so we use the object marker '를'."
Location Particle (에),(I) go to school.,학교___ 가요.,에,"에,에서,부터,까지","'에' indicates the destination or static location."
Action Location (에서),(I) buys at the home.,집___ 사요.,에서,"에,에서,으로,와","'에서' indicates the location where an action takes place."
Topic Particle (은/는),As for the kimchi, it is nice.,김치___ 좋아요.,는,"은,는,이,가","'김치' ends in a vowel, so we use the topic marker '는'."
Subject Particle (이/가),The banana exists.,바나나___ 있어요.,가,"이,가,을,를","'바나나' ends in a vowel, so we use the subject marker '가'."
Object Particle (을/를),(I) drinks the friend.,친구___ 마셔요.,를,"을,를,이,가","'친구' ends in a vowel, so we use the object marker '를'."
Location Particle (에),(I) go to office.,회사___ 가요.,에,"에,에서,부터,까지","'에' indicates the destination or static location."
Action Location (에서),(I) reads at the school.,학교___ 읽어요.,에서,"에,에서,으로,와","'에서' indicates the location where an action takes place."
Topic Particle (은/는),As for the water, it is nice.,물___ 좋아요.,은,"은,는,이,가","'물' ends in a consonant, so we use the topic marker '은'."
Subject Particle (이/가),The car exists.,차___ 있어요.,가,"이,가,을,를","'차' ends in a vowel, so we use the subject marker '가'."
Object Particle (을/를),(I) studies the friend.,친구___ 공부해요.,를,"을,를,이,가","'친구' ends in a vowel, so we use the object marker '를'."
Location Particle (에),(I) go to office.,회사___ 가요.,에,"에,에서,부터,까지","'에' indicates the destination or static location."
Action Location (에서),(I) reads at the library.,도서관___ 읽어요.,에서,"에,에서,으로,와","'에서' indicates the location where an action takes place."
Topic Particle (은/는),As for the house, it is nice.,집___ 좋아요.,은,"은,는,이,가","'집' ends in a consonant, so we use the topic marker '은'."
Subject Particle (이/가),The apple exists.,사과___ 있어요.,가,"이,가,을,를","'사과' ends in a vowel, so we use the subject marker '가'."
